Participant_ID,Activity_Type,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Timestamp
1,Walking,-6.752,-1.462,6.634,50.458,-119.29,330.14,1727961275
1,Walking,-3.258,4.167,9.41,110.223,-236.966,454.353,1727961275
1,Walking,-4.866,-7.666,7.656,-133.805,347.316,466.739,1727961275
1,Walking,-0.267,2.32,-3.644,-71.914,-88.004,-138.516,1727961276
1,Walking,7.85,7.5,-8.363,38.193,139.521,369.743,1727961276
1,Walking,-0.233,0.367,-1.756,-456.522,-6.738,-129.674,1727961276
1,Walking,2.903,-7.6,6.53,386.486,247.138,384.615,1727961276
1,Walking,-9.794,8.731,0.345,11.741,-241.055,105.609,1727961276
1,Walking,-4.474,-7.544,-5.876,249.169,115.369,334.443,1727961276
1,Walking,3.659,7.949,0.675,-136.864,172.071,257.197,1727961276
1,Walking,4.251,3.918,-5.082,-46.497,-162.67,309.74,1727961276
1,Walking,-2.244,7.936,8.3,-134.858,288.198,-285.66,1727961276
1,Walking,9.508,4.192,-1.758,139.982,-91.265,-87.857,1727961276
1,Walking,5.004,-7.141,-7.313,346.843,-185.528,5.779,1727961277
1,Walking,1.052,2.722,4.2,335.969,363.701,423.354,1727961277
1,Walking,2.282,6.076,8.124,290.396,-236.848,-345.39,1727961277
1,Walking,-9.652,-2.735,-0.478,-458.69,487.104,-280.914,1727961277
1,Walking,8.553,-6.375,-6.389,380.951,371.642,183.398,1727961277
1,Walking,-0.25,7.057,-5.075,-227.586,300.981,-429.678,1727961277
1,Walking,5.422,3.46,-1.762,25.605,-267.074,461.538,1727961277
1,Walking,-4.793,-4.265,-1.595,-91.736,369.372,-257.527,1727961277
1,Walking,-7.212,7.094,-1.239,215.14,467.423,-217.229,1727961277
1,Walking,2.216,6.668,-8.168,-494.477,25.252,-87.578,1727961277
1,Walking,-6.668,-8.174,1.905,402.053,-142.772,293.232,1727961278
1,Walking,-4.312,2.033,-1.049,299.654,233.406,-362.19,1727961278
1,Walking,-0.865,0.087,2.921,-88.477,-18.385,-260.979,1727961278
1,Walking,-5.653,0.489,-2.06,-446.393,486.9,-43.555,1727961278
